userId,email,userCreatedAt,subscriptionsFound,historiesFound,definitiveHistoriesFound,pendingHistoriesFound,exclusionReason
fbcf1179-8cac-4e5b-a008-5061def525ad,alejandro.castillo@gmail.com,2026-06-04T16:13:00.000Z,1,1,0,1,only_pending_histories
270813b4-1964-4199-abd1-c43081523b96,alejandro.jimenez@outlook.com,2026-06-18T16:59:00.000Z,1,1,0,1,only_pending_histories
36f891f5-27e2-4cc2-b7e9-c9d06624ea3b,alejandro.morales@icloud.com,2026-05-28T15:50:00.000Z,1,1,0,1,only_pending_histories
c5968b8c-e4ba-4aab-bd74-c2ff4ef07d2d,alejandro.ortega@yahoo.com,2026-06-25T17:22:00.000Z,0,0,0,0,no_subscription
675adcc7-c69b-40bb-aeb0-81ef95cdca70,alejandro.reyes@hotmail.com,2026-06-11T16:36:00.000Z,1,1,0,1,only_pending_histories
2e827656-cb9f-4df1-be44-36cb6969848f,andres.castillo@hotmail.com,2026-05-25T17:13:00.000Z,1,1,0,1,only_pending_histories
76bbfeba-0ff1-40d8-b14c-b11d01dec29a,andres.jimenez@yahoo.com,2026-06-08T17:59:00.000Z,1,1,0,1,only_pending_histories
848fb4a0-8b4d-4045-898a-c654aa22a3e3,andres.mendoza@gmail.com,2026-06-22T18:45:00.000Z,0,0,0,0,no_subscription
a5d2c782-1041-4b22-aea6-aea83658c879,andres.ortega@icloud.com,2026-06-15T18:22:00.000Z,1,1,0,1,only_pending_histories
4c1ac989-0c20-4b6f-aefc-deb4281544fa,andres.reyes@outlook.com,2026-06-01T17:36:00.000Z,1,1,0,1,only_pending_histories
942f13ea-c04b-4847-a7a8-0479aaea407e,camila.garcia@icloud.com,2026-06-21T17:46:00.000Z,1,1,0,1,only_pending_histories
8958ca43-8f46-4d23-8dd5-1671eedf5549,camila.hernandez@yahoo.com,2026-06-14T17:23:00.000Z,1,1,0,1,only_pending_histories
54753dce-de54-4417-8655-e55f3745c7e4,camila.lopez@outlook.com,2026-06-07T17:00:00.000Z,1,1,0,1,only_pending_histories
0ce611af-a9c6-412c-a39d-146ca2feac78,carlos.garcia@yahoo.com,2026-06-11T23:26:00.000Z,1,1,0,1,only_pending_histories
247e6daf-5d31-4411-b51a-9cfa57580429,carlos.hernandez@outlook.com,2026-06-04T23:03:00.000Z,1,1,0,1,only_pending_histories
061974b0-9468-450e-84f1-2881da9e8771,carlos.lopez@hotmail.com,2026-05-28T22:40:00.000Z,1,1,0,1,only_pending_histories
b3e25834-c307-4b37-a49e-a9346ec8f646,carlos.martinez@icloud.com,2026-06-18T23:49:00.000Z,1,1,0,1,only_pending_histories
1c541a8e-2a4b-4249-8bf6-2dbd9af09562,carlos.sanchez@gmail.com,2026-06-25T15:12:00.000Z,0,0,0,0,no_subscription
c7694cb3-f2c9-4bdc-9a2f-bfe0169cb4f6,daniela.hernandez@outlook.com,2026-06-24T16:23:00.000Z,0,0,0,0,no_subscription
e29077d5-0623-4004-9598-810ff325f1c9,daniela.lopez@hotmail.com,2026-06-17T16:00:00.000Z,1,1,0,1,only_pending_histories
9ffe0132-1322-4658-9845-426655fe2189,diego.aguilar@icloud.com,2026-05-24T16:14:00.000Z,1,1,0,1,only_pending_histories
5792b859-ec76-4442-ae5d-4bf34673105f,diego.campos@gmail.com,2026-05-31T16:37:00.000Z,1,1,0,1,only_pending_histories
c0fd1fc9-3e4d-4a63-81f1-e6c405955617,fernanda.jimenez@outlook.com,2026-05-29T23:39:00.000Z,1,1,0,1,only_pending_histories
dcf7318c-9c01-427c-b787-c156116af42f,fernanda.mendoza@icloud.com,2026-06-12T15:25:00.000Z,1,1,0,1,only_pending_histories
630ac55c-2e6a-47f1-aa4b-87bcde54cd50,fernanda.navarro@hotmail.com,2026-06-26T16:11:00.000Z,0,0,0,0,no_subscription
ed2feb6a-0d62-4766-b764-f062d58d1cfb,fernanda.ortega@yahoo.com,2026-06-05T15:02:00.000Z,1,1,0,1,only_pending_histories
82d95983-1f31-4eb7-bdfd-966467974779,fernanda.rojas@gmail.com,2026-06-19T15:48:00.000Z,1,1,0,1,only_pending_histories
36fbf169-21c5-48f4-acfb-64e6548cfb36,gabriela.castillo@hotmail.com,2026-06-14T19:33:00.000Z,1,1,0,1,only_pending_histories
939c103e-c89f-47f5-be7d-6bfd7483365e,gabriela.flores@yahoo.com,2026-05-24T18:24:00.000Z,1,1,0,1,only_pending_histories
b006c5f0-9000-4b6c-8fa9-ab7277bdeaf4,gabriela.morales@gmail.com,2026-06-07T19:10:00.000Z,1,1,0,1,only_pending_histories
dba7efd8-efb9-4459-94b9-a09ae886ed6b,gabriela.reyes@outlook.com,2026-06-21T19:56:00.000Z,1,1,0,1,only_pending_histories
94a58e96-c933-42e1-99ec-272c344c405c,gabriela.vargas@icloud.com,2026-05-31T18:47:00.000Z,1,1,0,1,only_pending_histories
7f7aece2-6a68-45ce-b459-1fd4419c757a,hector.hernandez@icloud.com,2026-06-24T20:43:00.000Z,0,0,0,0,no_subscription
92e743b9-a7ad-405f-9511-dfc6e29e0c2e,hector.lopez@yahoo.com,2026-06-17T20:20:00.000Z,1,1,0,1,only_pending_histories
75abbd13-3268-4bbe-b3fb-4a2087e8c858,jorge.aguilar@yahoo.com,2026-06-03T15:14:00.000Z,1,1,0,1,only_pending_histories
45144900-7773-4e6d-8678-d5d61b035405,jorge.campos@icloud.com,2026-06-10T15:37:00.000Z,1,1,0,1,only_pending_histories
e42361cf-54f7-49af-b318-318173c13799,jorge.navarro@outlook.com,2026-05-27T23:51:00.000Z,1,1,0,1,only_pending_histories
7b376ac1-d090-4a4b-b87f-2437740fce46,lucia.aguilar@icloud.com,2026-06-13T18:34:00.000Z,1,1,0,1,only_pending_histories
0d869a6a-4c97-45c2-b038-b82210f6e4dd,lucia.campos@gmail.com,2026-06-20T18:57:00.000Z,1,1,0,1,only_pending_histories
ffdac738-d9d7-4789-a451-c3686d554dfe,lucia.mendoza@hotmail.com,2026-05-23T17:25:00.000Z,1,1,0,1,only_pending_histories
d61b7c25-66e2-49f6-847c-4e976296dba1,lucia.navarro@yahoo.com,2026-06-06T18:11:00.000Z,1,1,0,1,only_pending_histories
ab9c39a2-5244-4602-91af-17d1eb2b658c,lucia.rojas@outlook.com,2026-05-30T17:48:00.000Z,1,1,0,1,only_pending_histories
7b319b3b-059a-4cfe-85df-24351f93d13a,luis.castillo@icloud.com,2026-06-14T15:13:00.000Z,1,1,0,1,only_pending_histories
80119116-95e7-4eb9-b346-712053d3985a,luis.flores@hotmail.com,2026-05-24T23:04:00.000Z,1,1,0,1,only_pending_histories
9afdb4cd-8c96-4879-9854-03fd03417db7,luis.morales@yahoo.com,2026-06-07T23:50:00.000Z,1,1,0,1,only_pending_histories
44abc20d-d050-4e16-b747-8b4009f5eaa1,luis.reyes@gmail.com,2026-06-21T15:36:00.000Z,1,1,0,1,only_pending_histories
7f325af7-7f53-4d3b-be48-028338287f8f,luis.vargas@outlook.com,2026-05-31T23:27:00.000Z,1,1,0,1,only_pending_histories
b9be6f28-8313-43cb-bec4-8f383e711b00,maria.cruz@yahoo.com,2026-06-09T23:38:00.000Z,1,1,0,1,only_pending_histories
7c1873c3-aa9b-47b9-8d61-39cec16f4058,maria.flores@gmail.com,2026-06-23T15:24:00.000Z,0,0,0,0,no_subscription
3a838f86-aa71-4eb2-b341-3168ec20c868,maria.ramirez@outlook.com,2026-06-02T23:15:00.000Z,1,1,0,1,only_pending_histories
d6b8b32e-3b18-4ea1-9e10-af2db0bfc544,maria.sanchez@hotmail.com,2026-05-26T22:52:00.000Z,1,1,0,1,only_pending_histories
642c7eae-32aa-426a-9d0d-d95075fda9c7,maria.torres@icloud.com,2026-06-16T15:01:00.000Z,1,1,0,1,only_pending_histories
fbfd9373-ead6-4aca-8d84-e3d27a35fd7b,mateo.cruz@gmail.com,2026-06-09T18:58:00.000Z,1,1,0,1,only_pending_histories
8c00fa96-d54b-4c7b-b05a-9a58df25507f,mateo.flores@outlook.com,2026-06-23T19:44:00.000Z,0,0,0,0,no_subscription
37e9f3c6-1356-482f-8b27-e8d53e8eac5a,mateo.ramirez@icloud.com,2026-06-02T18:35:00.000Z,1,1,0,1,only_pending_histories
7a3d5e16-9f98-4655-9f3e-ca228a8249de,mateo.sanchez@yahoo.com,2026-05-26T18:12:00.000Z,1,1,0,1,only_pending_histories
0d55a537-cb1f-43a9-bd59-dec9e28f3ff2,mateo.torres@hotmail.com,2026-06-16T19:21:00.000Z,1,1,0,1,only_pending_histories
e615e9bf-df4c-4fd2-bfaf-62738693db1e,miguel.garcia@icloud.com,2026-06-01T15:26:00.000Z,1,1,0,1,only_pending_histories
b7c6ed86-2532-4d77-873d-e6c97c466e41,miguel.hernandez@yahoo.com,2026-05-25T15:03:00.000Z,1,1,0,1,only_pending_histories
eb2fcef4-6366-4515-9da8-11a252932f56,miguel.martinez@gmail.com,2026-06-08T15:49:00.000Z,1,1,0,1,only_pending_histories
f43ebb92-9c7d-436d-b338-70879c4b0e8a,miguel.ramirez@outlook.com,2026-06-22T16:35:00.000Z,0,0,0,0,no_subscription
07adfd95-0938-4a2f-a9a7-ef3d423a70c4,miguel.sanchez@hotmail.com,2026-06-15T16:12:00.000Z,1,1,0,1,only_pending_histories
